Account_name,Degree,betweenness,closeness,id,name,ml_target,Degree_betweenness_closeness
0,2.6525902543834053e-05,0.0,0.27502662795278465,0,Eiryyy,0,0.27505315385532847
23977,0.0008488288814026897,0.00014523125501829566,0.3793571888584769,23977,airtoxin,0,0.3803512489948979
1,0.00021220722035067242,1.1499155409178771e-06,0.2949797342764589,1,shawflying,0,0.2951930914123505
34526,5.3051805087668106e-05,3.491845238649087e-07,0.2872304761904762,34526,ghosind,0,0.28728387718008774
2370,0.001061036101753362,2.1975042237672153e-05,0.3753646709746796,2370,jasondu,0,0.37644768211867063
14683,0.0028117456696464095,0.0002224405443443398,0.3683197530140493,14683,chaoslawful,0,0.37135393922804005
29982,0.012971166343934852,0.001086074432295149,0.4034394931723813,29982,dead-horse,0,0.4174967339486113
21142,0.01827634685270166,0.002236869640859358,0.4016642338877228,21142,fengmk2,0,0.42217745038128385
20363,0.010742990530252792,0.0008291578162324718,0.38721638472046754,20363,atian25,0,0.39878853306695283
23830,0.0009018806864903578,5.268121778886169e-05,0.3593221308272253,23830,778477,0,0.36027669273150453
34035,5.3051805087668106e-05,1.7983925138537068e-06,0.34345192001093244,34035,iceopen,0,0.343506770208534
6067,5.3051805087668106e-05,2.2066029423623008e-07,0.26726075274534405,6067,danalex97,1,0.26731402521072595
19720,0.001034510199209528,0.0002678393139676884,0.3644563462523806,19720,benjaminaaron,0,0.3657586957655578
20183,7.957770763150216e-05,7.628416875277955e-07,0.26798077879981236,20183,panpan2,1,0.2680611193491314
3,0.00013262951271917026,5.3171378426806956e-05,0.27873979652194486,3,SuhwanCha,0,0.27892559741309086
4950,2.6525902543834053e-05,0.0,0.21798133521446,4950,YuHyun7,1,0.21800786111700385
18029,0.0007692511737711875,0.00023579010817862845,0.3461481957579653,18029,graykode,1,0.34715323703991513
3358,0.000530518050876681,9.143257746202354e-05,0.34838417536110006,3358,ISKU,0,0.34900612598943875
34935,0.0007692511737711875,0.00016526052653209115,0.3540443835050385,34935,amacgregor,0,0.35497889520534176
5916,0.000503992148332847,0.00019294285245424726,0.378393841150669,5916,IJEMIN,1,0.3790907761514561
4,5.3051805087668106e-05,6.135293901008023e-09,0.2431032926215871,4,sunilangadi2,1,0.2431563505619687
