,0,1_x,1_y,1,Centrality,id,name,ml_target
0,danalex97,5.366534292154127e-05,0.0,0.1898824727817774,0.18993613812469892,6067,danalex97,1
1,benjaminaaron,0.0004829880862938714,0.0004935553595245,0.23633994736276254,0.23731649080858092,19720,benjaminaaron,0
2,SuhwanCha,0.00016099602876462382,0.00010392995768741078,0.22233981133973885,0.22260473732619088,3,SuhwanCha,0
3,YuHyun7,5.366534292154127e-05,0.0,0.18073893055451118,0.1807925958974327,4950,YuHyun7,1
4,graykode,0.0003756574004507889,0.000221434962297976,0.2645893834525406,0.2651864758152894,18029,graykode,1
5,IJEMIN,0.0009123108296662016,0.001635138093673792,0.2880133723394662,0.2905608212628062,5916,IJEMIN,1
6,sunilangadi2,5.366534292154127e-05,0.0,0.17840207700098037,0.1784557423439019,4,sunilangadi2,1
7,mshahriarinia,0.00010733068584308254,0.0001036729288790747,0.21881389493165276,0.21902489854637494,2865,mshahriarinia,0
8,Daichou,0.00042932274337233016,0.0004601366257926757,0.2453381012629761,0.24622756063214107,34957,Daichou,1
9,penk,5.366534292154127e-05,0.0,0.19564762449527962,0.19570128983820115,21395,penk,0
10,calee0219,0.00032199205752924764,0.00042486628120481305,0.2277515092210692,0.22849836755980327,9891,calee0219,0
11,import-yuefeng,0.0003756574004507889,0.00012086993214022239,0.23112439456408415,0.23162092189667516,9340,import-yuefeng,0
12,ss8651twtw,0.00032199205752924764,0.0001426510014012185,0.22808017222338228,0.22854481528231274,31260,ss8651twtw,0
13,floatflower,5.366534292154127e-05,0.0,0.19564762449527962,0.19570128983820115,14820,floatflower,0
14,dalinhuang99,0.06783299345282816,0.1825552090134674,0.3203663154695131,0.5707545179358087,31890,dalinhuang99,0
15,appleboy,0.0011806375442739079,0.0014237774953236916,0.2556035050707098,0.25820792011030735,26666,appleboy,0
16,kevinptt0323,0.00010733068584308254,1.1311282936477352e-07,0.19756857210276982,0.19767601590144226,22516,kevinptt0323,0
17,mauroherlein,5.366534292154127e-05,0.0,0.23190746995917644,0.23196113530209797,8,mauroherlein,0
18,amiryeg,0.0074058173231726955,0.013778758006642026,0.30517183092679545,0.32635640625661017,14003,amiryeg,1
19,ParadoxZero,0.00010733068584308254,0.00020733433726377465,0.2133469040115295,0.21366156903463637,9,ParadoxZero,0
20,apuayush,0.0008586454867446603,0.0010274789571354146,0.27380684150024476,0.2756929659441248,23914,apuayush,1
21,Aksh77,0.00010733068584308254,0.00010367292887907474,0.1747546308817275,0.17496563449644967,27768,Aksh77,1
22,llazzaro,0.0006976494579800365,0.00035110891936035037,0.24805443453800277,0.24910319291534316,10,llazzaro,0
23,ghutchis,0.00016099602876462382,1.4526576673257885e-06,0.20319821421107453,0.20336066289750648,35842,ghutchis,1
24,antirez,0.04636685628421166,0.08676023534474986,0.3130178821054254,0.44614497373438694,23589,antirez,1
25,ledell,0.0016099602876462381,0.001495294048107836,0.2781524255711561,0.2812576799069102,34238,ledell,1
26,eamanu,0.0003756574004507889,0.00021204590087431943,0.2660551404508239,0.26664284375214903,19973,eamanu,1
27,Ullaakut,0.0006976494579800365,0.0004824322227374485,0.271735529976548,0.27291561165726547,4708,Ullaakut,1
28,coreylynch,0.0005903187721369539,0.00025203895088798077,0.26846261902253765,0.2693049767455626,19256,coreylynch,1
29,rdp,0.0009659761725877428,0.0010689449344879374,0.2660877163044406,0.2681226374115163,14478,rdp,1
30,XayOn,0.0003756574004507889,0.00022514152596526244,0.20521292738313904,0.20581372630955508,22674,XayOn,1
31,byt3bl33d3r,0.0032199205752924762,0.00410364233834001,0.2904480471766437,0.29777161009027614,1407,byt3bl33d3r,1
32,jchodera,0.0004829880862938714,0.00025923724245770566,0.22062993918654236,0.22137216451529396,16641,jchodera,1
33,martin75carames,0.00026832671460770633,2.2935614134051573e-05,0.20532926124219977,0.20562052357094154,29465,martin75carames,1
34,dongAxis,0.0005903187721369539,0.0005502995878492395,0.27172703585226377,0.27286765421224995,16995,dongAxis,1
